Año,Departamento,"Tasa de mortalidad por causas externas por 100,000 habitantes",Número de fallecidos en accidentes de tránsito,Número de denuncias de violencia intrafamiliar,Número de homicidios por departamento,Porcentaje de niños con bajo peso al nacer,"Tasa de mortalidad por diarrea (A09) por cada 100,000 habitantes","Tasa bruta de mortalidad por cada 1,000 habitantes","Tasa de mortalidad por diabetes mellitus (E10-E14) por cada 100,000 habitantes","Tasa de mortalidad por enfermedades del sistema circulatorio (I00-I99) por 100,000 habitantes","Tasa de mortalidad por enfermedades del sistema respiratorio (J00-J99) por cada 10,000 habitantes",0,,,,,,,,,,,,,,,,,
2022,Guatemala,84.5,541,"8,268","1,304",15.3,4.1,6.6,65.9,120.3,4.3,,,,,,,,,,,,,,,,,,
2022,El Progreso,86.8,63,"1,122",48,14.2,2.9,6.9,69.7,203.0,4.4,,,,,,,,,,,,,,,,,,
2022,Sacatepéquez,59.6,86,"1,689",50,18.9,1.4,5.9,69.6,109.7,3.9,,,,,,,,,,,,,,,,,,
2022,Chimaltenango,49.0,97,"2,169",55,16.6,4.5,4.9,53.4,103.7,2.6,,,,,,,,,,,,,,,,,,
2022,Escuintla,102.8,250,"1,745",350,12.7,2.4,7.0,63.4,87.2,3.4,,,,,,,,,,,,,,,,,,
2022,Santa Rosa,77.7,76,"1,126",87,13.2,1.3,6.1,39.8,132.0,3.5,,,,,,,,,,,,,,,,,,
2022,Sololá,53.1,26,355,21,15.6,12.4,5.0,55.3,69.2,3.6,,,,,,,,,,,,,,,,,,
2022,Totonicapán,59.4,26,462,8,20.6,15.0,5.7,47.6,58.3,2.0,,,,,,,,,,,,,,,,,,
2022,Quetzaltenango,69.7,64,"2,106",96,18.8,2.9,6.1,63.2,98.5,3.3,,,,,,,,,,,,,,,,,,
2022,Suchitepéquez,57.9,71,"1,765",45,9.7,2.1,6.4,41.9,45.0,1.5,,,,,,,,,,,,,,,,,,
2022,Retalhuleu,57.3,63,"1,575",36,10.0,1.9,6.1,29.7,28.1,2.2,,,,,,,,,,,,,,,,,,
2022,San Marcos,52.5,53,"1,703",90,13.6,14.2,5.1,47.0,102.4,5.2,,,,,,,,,,,,,,,,,,
2022,Huehuetenango,37.0,40,999,32,11.7,15.0,3.9,38.0,85.4,4.3,,,,,,,,,,,,,,,,,,
2022,Quiché,46.6,75,629,19,12.1,12.4,4.4,43.3,62.2,2.6,,,,,,,,,,,,,,,,,,
